id,title,company,location,skills,description,seniority
job-175485704,Software Engineer,GOYT,"Denver, CO",Excel;SQL;Java;JavaScript;HTML;CSS;MySQL;Communication,"Job Description:GOYT is seeking a skilled and motivated Remote Software Developer specializing in PHP to join our dynamic team. As a key member of our development team, you will play a crucial role in iterating and enhancing our product to drive the growth of our company. This is an equity-based role.  Responsibilities:Develop and maintain high-quality PHP code for our web-based application.Collaborate with the development team to design and implement new features and enhancements.Troubleshoot a",Mid
job-2234533717,Full Stack Developer,Ideando Inc,United States,Excel;Python;SQL;Java;JavaScript;TypeScript;React;Node.js;HTML;CSS;AWS;Mongodb;PostgreSQL;CI/CD;Networking;Agile;Communication,"Location: Remote Company Overview:SkillFit, a subsidiary of Ideando Inc. is a cutting-edge AI-powered platform that revolutionizes the talent acquisition process by connecting job seekers with recruiters in a seamless and efficient manner. Our mission is to leverage technology to enhance the job search experience for both candidates and employers, ultimately driving better outcomes and reducing frustration in the hiring process. Position Overview:We are seeking a talented and experienced Freelan",Mid
job-3586167732,Software Engineer,StyleAI,San Francisco Bay Area,Excel;SQL;Java;JavaScript;TypeScript;GCP;PostgreSQL;Git,"StyleAI is the AI-powered, all-in-one unified marketing platform for businesses and ambitious marketing teams. Thousands of companies rely on Style to manage their SEO strategies, Google Ads campaigns, and websites in real time. Based in San Francisco, StyleAI offers three turnkey products: Seona, Crafta, and Adwin, helping businesses automate their entire digital marketing strategy. We are looking to rapidly scale and hire exceptional technical talent. Some information about us:Strategic invest",Mid
job-3710273988,QA Engineer,"Decision Point Security, Inc.","Florida, United States",AWS;GCP;Penetration Testing;Agile,"Decision Point Security Inc. is currently seeking a dedicated and skilled Cybersecurity Test Engineer to join our growing team. As a cybersecurity test engineer you will be responsible for validating the security posture of customer applications and platforms through vulnerability research / analysis and penetration test. Your ability to think creatively about potential threats and develop and execute test cases using latest cyber threat Tactics, Techniques, and Procedures (TTPs) to assess expos",Mid
job-3728459637,Backend Developer,HireBus,United States,APIs;Excel;SQL;TypeScript;Node.js;AWS;MySQL;CI/CD;Monitoring;Communication,"Principal Backend Engineer - Join HireBus and Revolutionize Small Business Hiring! At HireBus, we're on a mission to transform the way small businesses hire top talent. By combining cutting-edge AI technology with powerful psychological insights, we help owners focus on the top 1% of candidates, ensuring they make the best possible hires. If you're passionate about using technology to solve real-world problems and making a difference in the lives of small business owners, this is the perfect opp",Mid
job-3742692445,Data Engineer,ZenithMinds Inc,"Austin, TX",ETL;Python;SQL;AWS;Git;Linux,"Data Engineer with Kafka (W2 Only)💯% Remote Min 10 to12+ strong development experience neededVery strong experience in Kafka and Kafka data injection Strong exp in working with API.Strong exp in Python with AWS.Experience with Informatica IICS and Snowflake. Expertise in Snowflake's cloud data platform, including data loading, transformation, and querying using Snowflake SQL.Experience with SQL-based development, optimization, and tuning for large-scale data processing.Strong understanding of di",Mid
job-3797449314,Data Engineer,"Subaru Research and Development, Inc","Michigan, United States",Python;Java;AWS;GCP;Git;Prototyping;Communication,"About Subaru Research and Development:Do you care about making social impacts through your job, like eliminating fatal accidents by improving safety driving systems, or reducing carbon emissions by developing new BEVs?Do your personal interests relate to road trips, going outdoors, off-road driving, hands-on work on cars, or rally and racing? If your answer is yes, then this job is right for you! Subaru R&D is an innovation partner of SUBARU Corporation in Japan, and our mission is to serve as a",Junior
job-3800272386,Software Engineer,Sovrinti,United States,APIs;Excel;Python;SQL;AWS;GCP;Docker;Kubernetes;Pandas;Git;CI/CD;Linux;Monitoring;Agile;Communication,"Company Overview Sovrinti is a full-service energy storage system supplier and integrator. Using our core strengths of expert service to our customers, unparalleled safety, and excellence in manufacturing, we bring standardized, fully integrated energy storage systems to a rapidly growing worldwide market. Our systems address our customers' needs to reduce capital equipment and installation costs while enhancing system level performance and reliability using automated monitoring systems and anal",Mid
job-3800989742,Data Engineer,SilverSpace Technologies Inc,"Hartford, CT",APIs;SQL;Java;JavaScript;TypeScript;React;Node.js;HTML;CSS;AWS;Docker;MySQL;Git,"Responsibilities:Develop new features, fix bugs, Writing and maintaining code in React, JavaScript, Typescript, and Node.js Using data and analytics to improve the product and customer experienceAccountable for code quality, including writing unit and integration testsWorking collaboratively with a team and refactor PHP and Javascript code for both the frontend and backend of a B2B SaaS product. You will work with another developer via Ping-Pong Programming to help you get up to speed on the cod",Mid
job-3813645405,Data Analyst,Tenazx Inc,"Queens, NY",Excel;Statistics;Python;SQL;Data Modeling;Communication,"Job Title: Data AnalystDuration: ContractLocation: Queens-NY (Day 1 onsite)-- Need only locals   Role DescriptionThis is a contract role for a Data Analyst. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting complex data sets. You will work with various departments to identify patterns, trends, and insights that can be used to improve business operations. This is an on-site role located in Queens, NY. QualificationsAnalytical skills, including the ability to c",Mid
